AC005593.1	ENSG00000279584.1		OTTHUMG00000162685.1
MIR3663	ENSG00000266782.1	HGNC:38958	
AC021237.1	ENSG00000250267.2		OTTHUMG00000164932.1
RNU6-1219P	ENSG00000251952.1	HGNC:48182	
Z83846.1	ENSG00000228194.1		OTTHUMG00000030096.2
ASAH1	ENSG00000104763.19	HGNC:735	OTTHUMG00000096997.20
AL035411.1	ENSG00000185839.3		OTTHUMG00000010070.1
APEH	ENSG00000164062.13	HGNC:586	OTTHUMG00000156882.5
AC087893.2	ENSG00000274598.1		OTTHUMG00000187432.1
MLH3	ENSG00000119684.15	HGNC:7128	OTTHUMG00000171766.5
CRTC3-AS1	ENSG00000259736.1	HGNC:51433	OTTHUMG00000172335.1
ZNF72P	ENSG00000184624.4	HGNC:13142	OTTHUMG00000140359.1
BCKDHB	ENSG00000083123.15	HGNC:987	OTTHUMG00000016430.3
PTBP1	ENSG00000011304.20	HGNC:9583	OTTHUMG00000181789.13
AC079742.1	ENSG00000232581.1		OTTHUMG00000151848.1
AC126407.1	ENSG00000260978.1		OTTHUMG00000176418.1
AC010789.2	ENSG00000286489.1		OTTHUMG00000194296.1
AC023824.5	ENSG00000261800.2		OTTHUMG00000176231.4
AC008119.1	ENSG00000287202.1		OTTHUMG00000194171.1
SLC44A5	ENSG00000137968.16	HGNC:28524	OTTHUMG00000009721.3
C5orf15	ENSG00000113583.8	HGNC:20656	OTTHUMG00000129125.4
AP001273.1	ENSG00000279696.1		OTTHUMG00000167487.1
CIB2	ENSG00000136425.14	HGNC:24579	OTTHUMG00000143731.6
UBE2Z	ENSG00000159202.18	HGNC:25847	OTTHUMG00000150521.7
RPL21P33	ENSG00000237024.1	HGNC:36686	OTTHUMG00000152167.1
COPG2	ENSG00000158623.14	HGNC:2237	OTTHUMG00000155364.4
EPS8L2	ENSG00000177106.16	HGNC:21296	OTTHUMG00000165165.12
NMT1	ENSG00000136448.12	HGNC:7857	OTTHUMG00000180003.4
ZNF287	ENSG00000141040.15	HGNC:13502	OTTHUMG00000058993.6
AK3	ENSG00000147853.17	HGNC:17376	OTTHUMG00000019472.3
IGF2BP3	ENSG00000136231.14	HGNC:28868	OTTHUMG00000128445.7
IGHV7-56	ENSG00000253131.1	HGNC:5667	OTTHUMG00000151975.1
