Gm29085	ENSMUSG00000099772.1		OTTMUSG00000048855.1
Igf2bp1	ENSMUSG00000013415.9		OTTMUSG00000001937.2
Gm25090	ENSMUSG00000077188.1		
Gm29117	ENSMUSG00000100118.1		OTTMUSG00000048374.1
Pcdhb19	ENSMUSG00000043313.6		OTTMUSG00000050745.1
Ccm2l	ENSMUSG00000027474.13		OTTMUSG00000015776.3
Dnm1l	ENSMUSG00000022789.15		OTTMUSG00000071274.2
Stk3	ENSMUSG00000022329.15		OTTMUSG00000032792.2
Cdkn1b	ENSMUSG00000003031.14		OTTMUSG00000021172.2
Mycbp	ENSMUSG00000028647.13		OTTMUSG00000008990.1
Gm28682	ENSMUSG00000100564.1		OTTMUSG00000048311.1
Gm28456	ENSMUSG00000101003.6		OTTMUSG00000048069.1
Gm16126	ENSMUSG00000086585.1		OTTMUSG00000030791.1
Gm42818	ENSMUSG00000106192.1		OTTMUSG00000053248.1
Gm43205	ENSMUSG00000105419.1		OTTMUSG00000052476.1
Vmn2r-ps98	ENSMUSG00000117836.1		OTTMUSG00000067676.2
Zfp760	ENSMUSG00000067928.6		OTTMUSG00000072257.1
Scamp2	ENSMUSG00000040188.10		OTTMUSG00000063190.1
Zfp692	ENSMUSG00000037243.17		OTTMUSG00000005728.2
B830012L14Rik	ENSMUSG00000098202.2		OTTMUSG00000043495.2
Gm41669	ENSMUSG00000117536.1		OTTMUSG00000073048.1
Gm35955	ENSMUSG00000104228.1		OTTMUSG00000050055.1
Gm13469	ENSMUSG00000082679.1		OTTMUSG00000012334.1
Gm17777	ENSMUSG00000101154.1		OTTMUSG00000049129.1
Gm22809	ENSMUSG00000064677.1		
Gm33501	ENSMUSG00000110000.1		OTTMUSG00000060939.1
Commd7	ENSMUSG00000056941.17		OTTMUSG00000016777.2
Gm15787	ENSMUSG00000086247.7		OTTMUSG00000026209.1
Kcnd1	ENSMUSG00000009731.4		OTTMUSG00000017926.1
Gm6257	ENSMUSG00000091866.1		OTTMUSG00000036545.1
Arrb2	ENSMUSG00000060216.15		OTTMUSG00000006049.7
Gm42736	ENSMUSG00000107206.1		OTTMUSG00000055825.1
Gm37735	ENSMUSG00000104508.1		OTTMUSG00000047168.1
Rab38	ENSMUSG00000030559.8		OTTMUSG00000025016.2
Gm24567	ENSMUSG00000094515.1		
Gm28408	ENSMUSG00000099821.1		OTTMUSG00000045780.1
Rogdi	ENSMUSG00000022540.16		OTTMUSG00000055592.2
Gm23780	ENSMUSG00000088562.2		
Rab3gap2	ENSMUSG00000039318.12		OTTMUSG00000050654.7
Sncg	ENSMUSG00000023064.4		OTTMUSG00000034011.1
Iglc4	ENSMUSG00000106039.1		OTTMUSG00000053526.3
Gm22897	ENSMUSG00000105400.1		
Gm16261	ENSMUSG00000072068.4		OTTMUSG00000032824.1
Gm25754	ENSMUSG00000094946.1		
Cep89	ENSMUSG00000023072.14		OTTMUSG00000024454.3
Gm43500	ENSMUSG00000107296.1		OTTMUSG00000055886.1
E2f8	ENSMUSG00000046179.17		OTTMUSG00000029718.2
Gm12733	ENSMUSG00000081543.1		OTTMUSG00000008184.1
Lrrc43	ENSMUSG00000063409.12		OTTMUSG00000026825.2
Gm23158	ENSMUSG00000093886.1		
Trbv18	ENSMUSG00000102409.1		OTTMUSG00000051335.1
Mup12	ENSMUSG00000094793.1		OTTMUSG00000028887.1
Gm16132	ENSMUSG00000090232.1		OTTMUSG00000030851.1
Gm49653	ENSMUSG00000116917.1		OTTMUSG00000071912.1
Pinc	ENSMUSG00000099877.6		OTTMUSG00000047272.1
Prl3c1	ENSMUSG00000017922.14		OTTMUSG00000000629.2
Gm28159	ENSMUSG00000099734.1		OTTMUSG00000046670.1
Gm17970	ENSMUSG00000103230.1		OTTMUSG00000050644.1
Cd55b	ENSMUSG00000026401.15		OTTMUSG00000025172.2
Ubr1	ENSMUSG00000027272.5		OTTMUSG00000015780.2
Mir741	ENSMUSG00000077119.1		
Olfr683	ENSMUSG00000044120.5		OTTMUSG00000060648.2
Gm50371	ENSMUSG00000117841.1		OTTMUSG00000073334.1
mt-Nd5	ENSMUSG00000064367.1		
G630030J09Rik	ENSMUSG00000097149.1		OTTMUSG00000045675.1
Gm41467	ENSMUSG00000116728.1		OTTMUSG00000071891.1
Gm53	ENSMUSG00000078706.4		OTTMUSG00000001985.3
Nr6a1	ENSMUSG00000063972.13		OTTMUSG00000012347.5
Trav9-2	ENSMUSG00000094966.2		OTTMUSG00000053952.2
Gm20052	ENSMUSG00000106718.1		OTTMUSG00000056277.1
Gm48217	ENSMUSG00000114783.1		OTTMUSG00000068686.1
Olfr660-ps1	ENSMUSG00000081694.1		OTTMUSG00000019195.1
Fam50a	ENSMUSG00000001962.8		OTTMUSG00000017658.3
Gm9755	ENSMUSG00000030735.6		OTTMUSG00000061939.1
Gm13982	ENSMUSG00000085681.1		OTTMUSG00000015230.1
Lrrc31	ENSMUSG00000074653.10		OTTMUSG00000022312.4
Csnka2ip	ENSMUSG00000068167.6		OTTMUSG00000061526.2
S100a1	ENSMUSG00000044080.9		OTTMUSG00000022107.1
Gm15275	ENSMUSG00000084982.1		OTTMUSG00000019723.1
Zfp267	ENSMUSG00000033883.11		OTTMUSG00000052214.3
Gm13321	ENSMUSG00000083547.2		OTTMUSG00000011411.2
Gm11246	ENSMUSG00000081656.1		OTTMUSG00000000292.1
Gm28946	ENSMUSG00000101684.1		OTTMUSG00000048422.1
Gm12144	ENSMUSG00000086170.1		OTTMUSG00000005446.1
4930590L14Rik	ENSMUSG00000106540.1		OTTMUSG00000053678.1
Zfp653	ENSMUSG00000038895.16		OTTMUSG00000062329.1
Recql5	ENSMUSG00000020752.11		OTTMUSG00000003617.3
Nemf	ENSMUSG00000020982.9		OTTMUSG00000065761.1
C230099D08Rik	ENSMUSG00000111699.1		OTTMUSG00000063482.1
Olfr1489	ENSMUSG00000045678.8		OTTMUSG00000059539.3
Gm9157	ENSMUSG00000081004.1		OTTMUSG00000018313.1
Gm6651	ENSMUSG00000099604.1		OTTMUSG00000048535.1
Gm23517	ENSMUSG00000064764.1		
Gm15383	ENSMUSG00000084240.1		OTTMUSG00000020866.1
Tmem104	ENSMUSG00000045980.13		OTTMUSG00000003663.1
Cpt2	ENSMUSG00000028607.16		OTTMUSG00000009301.4
4933411G06Rik	ENSMUSG00000062224.6		OTTMUSG00000033685.1
Rpl31-ps9	ENSMUSG00000094122.1		OTTMUSG00000026222.1
Btbd35f26	ENSMUSG00000118441.1		OTTMUSG00000074761.1
Erich1	ENSMUSG00000051978.9		OTTMUSG00000060795.1
Gm26864	ENSMUSG00000097646.1		OTTMUSG00000042680.1
Mir299b	ENSMUSG00000093291.2		
Gnaz	ENSMUSG00000040009.6		OTTMUSG00000033002.3
Gm24452	ENSMUSG00000065281.1		
Pxylp1	ENSMUSG00000043587.15		OTTMUSG00000027495.6
Gm26875	ENSMUSG00000097371.1		OTTMUSG00000042803.1
Qtrt2	ENSMUSG00000022704.16		OTTMUSG00000026821.4
Gm10109	ENSMUSG00000062073.6		OTTMUSG00000058321.2
Gm43303	ENSMUSG00000104781.1		OTTMUSG00000053871.1
Ugt1a10	ENSMUSG00000090165.8		OTTMUSG00000020817.6
Gm26408	ENSMUSG00000088297.1		
Gm50047	ENSMUSG00000117275.1		OTTMUSG00000072630.1
Gm12737	ENSMUSG00000085093.1		OTTMUSG00000008235.1
Gm37023	ENSMUSG00000104078.1		OTTMUSG00000044763.1
1700003F12Rik	ENSMUSG00000038523.10		OTTMUSG00000015791.1
Penk	ENSMUSG00000045573.9		OTTMUSG00000004406.2
Zfp37	ENSMUSG00000028389.12		OTTMUSG00000000308.5
Tacc2	ENSMUSG00000030852.17		OTTMUSG00000059551.4
Tmem39a	ENSMUSG00000002845.14		OTTMUSG00000036539.2
Gm48812	ENSMUSG00000113057.1		OTTMUSG00000067428.1
Pkhd1l1	ENSMUSG00000038725.13		OTTMUSG00000060491.2
Ablim2	ENSMUSG00000029095.17		OTTMUSG00000024832.5
Gm37762	ENSMUSG00000102999.1		OTTMUSG00000044501.1
Mir224	ENSMUSG00000065542.1		
Gm5240	ENSMUSG00000117447.1		OTTMUSG00000073046.1
Gca	ENSMUSG00000026893.4		OTTMUSG00000012870.1
Gm43884	ENSMUSG00000108123.1		OTTMUSG00000057573.1
Pde4b	ENSMUSG00000028525.16		OTTMUSG00000008053.4
Gm378	ENSMUSG00000082354.1		OTTMUSG00000018255.1
Hbb-bh1	ENSMUSG00000052217.6		OTTMUSG00000019079.3
Rps12	ENSMUSG00000061983.7		OTTMUSG00000064263.1
Snrpn	ENSMUSG00000102252.5		OTTMUSG00000042349.1
Dennd6a	ENSMUSG00000040818.10		OTTMUSG00000056602.2
Nvl	ENSMUSG00000026516.8		OTTMUSG00000050467.1
Gm26965	ENSMUSG00000097565.1		OTTMUSG00000042796.1
Gm13042	ENSMUSG00000083930.1		OTTMUSG00000010132.1
Gm27845	ENSMUSG00000098967.1		
Actr2	ENSMUSG00000020152.7		OTTMUSG00000005221.1
4833405L11Rik	ENSMUSG00000113544.1		OTTMUSG00000066662.1
Gm24803	ENSMUSG00000065627.1		
Gm45297	ENSMUSG00000109775.1		OTTMUSG00000061387.1
Gm4819	ENSMUSG00000097936.1		OTTMUSG00000043378.1
4930550L24Rik	ENSMUSG00000046180.11		OTTMUSG00000019446.1
Gm29019	ENSMUSG00000100552.1		OTTMUSG00000047229.2
Gm16518	ENSMUSG00000083015.1		OTTMUSG00000005035.1
Gm9616	ENSMUSG00000114003.1		OTTMUSG00000066237.1
Slc22a6	ENSMUSG00000024650.5		OTTMUSG00000074530.1
Crabp1	ENSMUSG00000032291.8		OTTMUSG00000030283.1
Olfr904	ENSMUSG00000094380.3		OTTMUSG00000062123.3
Ankrd65	ENSMUSG00000078487.8		OTTMUSG00000010850.2
Olfr1136	ENSMUSG00000075151.6		OTTMUSG00000013838.4
Gm49544	ENSMUSG00000116262.1		OTTMUSG00000070764.1
Gm44509	ENSMUSG00000108358.1		OTTMUSG00000058852.1
4930469K13Rik	ENSMUSG00000085684.2		OTTMUSG00000005403.2
4833445I07Rik	ENSMUSG00000103103.1		OTTMUSG00000050975.2
Gm5341	ENSMUSG00000062235.6		OTTMUSG00000059750.1
Lgr5	ENSMUSG00000020140.15		OTTMUSG00000020836.3
Gm45327	ENSMUSG00000110072.1		OTTMUSG00000060321.1
Gm43539	ENSMUSG00000105910.1		OTTMUSG00000052669.1
Gm22429	ENSMUSG00000089178.1		
Rp1l1	ENSMUSG00000046049.7		OTTMUSG00000068768.1
Gm12885	ENSMUSG00000083901.1		OTTMUSG00000008907.1
Gm16059	ENSMUSG00000085802.1		OTTMUSG00000029588.1
Mir383	ENSMUSG00000065457.3		
Gm49865	ENSMUSG00000117336.1		OTTMUSG00000072489.1
Gm37465	ENSMUSG00000102423.1		OTTMUSG00000051654.1
Tmem65	ENSMUSG00000062373.8		OTTMUSG00000020984.2
Gm18862	ENSMUSG00000107819.1		OTTMUSG00000056431.1
Cyp2c53-ps	ENSMUSG00000093610.7		OTTMUSG00000042249.1
Vdac2	ENSMUSG00000021771.14		OTTMUSG00000016381.4
Gm25221	ENSMUSG00000094548.1		
Dctn5	ENSMUSG00000030868.6		OTTMUSG00000022642.2
Olfr861-ps1	ENSMUSG00000110518.1		OTTMUSG00000061698.1
Hoxc5	ENSMUSG00000022485.3		OTTMUSG00000037400.1
Gckr	ENSMUSG00000059434.9		OTTMUSG00000055211.5
Gm18784	ENSMUSG00000117207.1		OTTMUSG00000072232.1
Sfxn2	ENSMUSG00000025036.7		OTTMUSG00000074236.1
Gm36026	ENSMUSG00000116010.1		OTTMUSG00000071211.1
Gm43217	ENSMUSG00000106606.1		OTTMUSG00000053266.1
Gm21954	ENSMUSG00000094962.1		
Olfr945	ENSMUSG00000063380.3		OTTMUSG00000062281.2
Edem2	ENSMUSG00000038312.10		OTTMUSG00000016134.1
Abhd12	ENSMUSG00000032046.15		OTTMUSG00000015774.3
Gm48647	ENSMUSG00000114100.1		OTTMUSG00000066711.1
Gm45093	ENSMUSG00000108407.1		OTTMUSG00000058157.1
Gm25627	ENSMUSG00000065937.1		
Ehbp1	ENSMUSG00000042302.14		OTTMUSG00000005255.2
Krt79	ENSMUSG00000061397.8		OTTMUSG00000028015.2
Gkn2	ENSMUSG00000030049.5		OTTMUSG00000057175.1
Gm45130	ENSMUSG00000109481.1		OTTMUSG00000059912.1
Selenok	ENSMUSG00000042682.9		OTTMUSG00000020974.3
Zfp652	ENSMUSG00000075595.9		OTTMUSG00000001747.4
Gm8741	ENSMUSG00000091655.3		OTTMUSG00000037098.1
Gm28943	ENSMUSG00000101019.1		OTTMUSG00000048421.1
Thoc3	ENSMUSG00000025872.5		OTTMUSG00000027733.2
Gm38263	ENSMUSG00000102902.1		OTTMUSG00000049229.1
Gm18892	ENSMUSG00000111553.1		OTTMUSG00000062409.1
Gm37020	ENSMUSG00000103603.1		OTTMUSG00000049904.1
Gm38295	ENSMUSG00000103154.1		OTTMUSG00000051465.1
Gm42445	ENSMUSG00000106411.1		OTTMUSG00000054779.1
Lce1b	ENSMUSG00000027923.3		OTTMUSG00000051847.1
Gm14174	ENSMUSG00000087508.1		OTTMUSG00000015875.1
Il2rb	ENSMUSG00000068227.9		OTTMUSG00000070732.1
Scfd1	ENSMUSG00000020952.10		OTTMUSG00000065431.1
Notumos	ENSMUSG00000053613.6		OTTMUSG00000004079.1
Krt9	ENSMUSG00000051617.3		OTTMUSG00000002544.1
Mylk4	ENSMUSG00000044951.16		OTTMUSG00000000690.6
9330182O14Rik	ENSMUSG00000094112.2		OTTMUSG00000070550.1
Topbp1-ps1	ENSMUSG00000099511.1		OTTMUSG00000048548.1
Gm49605	ENSMUSG00000116773.1		OTTMUSG00000071933.1
Gm7579	ENSMUSG00000073786.1		OTTMUSG00000048009.3
Sema4a	ENSMUSG00000028064.17		OTTMUSG00000021258.5
Myorg	ENSMUSG00000046312.4		OTTMUSG00000006655.3
Gm29148	ENSMUSG00000099742.1		OTTMUSG00000046573.1
Gm48599	ENSMUSG00000112559.1		OTTMUSG00000065297.1
Olfr562-ps1	ENSMUSG00000110122.1		OTTMUSG00000060057.1
Ccdc34	ENSMUSG00000027160.16		OTTMUSG00000015056.3
Naip3-ps1	ENSMUSG00000114576.1		OTTMUSG00000067768.1
Gm48253	ENSMUSG00000113316.1		OTTMUSG00000066571.1
Nhlrc3	ENSMUSG00000042997.13		OTTMUSG00000022219.4
Gm50408	ENSMUSG00000118299.1		OTTMUSG00000073518.1
Gm43360	ENSMUSG00000105970.1		OTTMUSG00000054518.1
Gm26296	ENSMUSG00000095792.1		
Plgrkt	ENSMUSG00000016495.12		OTTMUSG00000033020.3
Gm3028	ENSMUSG00000111572.1		OTTMUSG00000062441.1
